cluster_id,id,title,author,doi,file
6,P_0000000357,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Wu, Yi and Choi, Ben and Guo, Xitong and Klarissa, Ting-Ting and Chang",,data/pdfs/18_11/WuChoiGuoEtAl2017.pdf
6,P_0000000507,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Molnar, Wolfgang Alfred and Nandhakumar, Joe and Stacey, Patrick",,data/pdfs/18_11/MolnarNandhakumarStacey2017.pdf
7,P_0000000670,Journal of the Association for Information,"Figl, Kathrin and Mendling, Jan and Strembeck, Mark",,data/pdfs/14_6/FiglMendlingStrembeck2013.pdf
7,P_0000000682,Journal of the Association for Information,"Vessey, Iris and Ward, Kerry",,data/pdfs/14_6/VesseyWard2013.pdf
8,P_0000000048,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Bernardi, Roberta and Constantinides, Panos and Nandhakumar, Joe",,data/pdfs/18_2/BernardiConstantinidesNandhakumar2017.pdf
8,P_0000000278,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Salehan, Mohammad and Kim, Dan J and Kim, Changsu",,data/pdfs/18_2/SalehanKimKim2017.pdf
8,P_0000000304,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Xu, David Jingjun and Abdinnour, Sue and Chaparro, Barbara",,data/pdfs/18_2/XuAbdinnourChaparro2017.pdf
9,P_0000000457,Journal of the Association for Information,"Kaganer, Evgeny and Pawlowski, Suzanne D and Wiley-Patton, Sonja",,data/pdfs/11_1/KaganerPawlowskiWileyPatton2010.pdf
9,P_0000000541,Journal of the Association for Information,"Jiang, Zhenhui and Chan, Jason and Tan, Bernard C Y and Siong Chua, Wei",,data/pdfs/11_1/JiangChanTanEtAl2010.pdf
10,P_0000000583,Journal of the Association for Information,"Wagner, Erica L and Newell, Sue and Piccoli, Gabriele",,data/pdfs/11_5/WagnerNewellPiccoli2010.pdf
10,P_0000000589,Journal of the Association for Information,"Appan, Radha and Browne, Glenn J",,data/pdfs/11_5/AppanBrowne2010.pdf
11,P_0000000157,Journal of the Association for Information,"Sanner, Terje Aksel and Davis, Tiwonge and Nielsen, Petter",,data/pdfs/15_4/SannerMandaNielsen2014.pdf
11,P_0000000250,Journal of the Association for Information,"Grisot, Miria and Hanseth, Ole and Thorseng, Anne Asmyr and Pollock, Neil",,data/pdfs/15_4/GrisotHansethThorseng2014.pdf
11,P_0000000540,Journal of the Association for Information,"Silsand, Line and Ellingsen, Gunnar",,data/pdfs/15_4/SilsandEllingsen2014.pdf
12,P_0000000279,Journal of the Association for Information,"Kock, Ned and Lynn, Gary S",,data/pdfs/13_7/KockLynn2012.pdf
12,P_0000000402,Journal of the Association for Information,"Choi, Byounggu and Lee, Jae-Nam",,data/pdfs/13_7/ChoiLee2012.pdf
12,P_0000000708,Journal of the Association for Information,"Jewer, Jennifer and Mckay, Kenneth N",,data/pdfs/13_7/JewerMcKay2012.pdf
